Company,Value
Company A,0.416
Company A,0.4095
Company A,0.3779
Company A,0.3633
Company A,0.4049
Company A,0.3878
Company A,0.3498
Company A,0.4149
Company A,0.3728
Company A,0.3615
Company A,0.3996
Company A,0.3919
Company A,0.3884
Company A,0.396
Company A,0.3639
Company A,0.3707
Company A,0.3896
Company A,0.3529
Company A,0.3806
Company A,0.4063
Company A,0.3902
Company A,0.3807
Company A,0.4055
Company A,0.3655
Company A,0.3896
Company A,0.3565
Company A,0.3704
Company A,0.3636
Company A,0.3932
Company A,0.3931
Company A,0.3415
Company A,0.3624
Company A,0.31
Company A,0.3665
Company A,0.3921
Company A,0.37
Company A,0.3992
Company A,0.362
Company A,0.3753
Company A,0.4099
Company A,0.3745
Company A,0.3803
Company A,0.4048
Company A,0.3879
Company A,0.4166
Company A,0.3748
Company A,0.4024
Company A,0.3803
Company A,0.3644
Company A,0.3835
Company A,0.3492
Company A,0.3964
Company A,0.385
Company A,0.3564
Company A,0.3775
Company A,0.3631
Company A,0.366
Company A,0.4002
Company A,0.4094
Company A,0.3572
Company A,0.3671
Company A,0.3864
Company A,0.4176
Company A,0.4163
Company A,0.3897
Company A,0.3703
Company A,0.3722
Company A,0.3646
Company A,0.4028
Company A,0.3673
Company A,0.3923
Company A,0.3829
Company A,0.3827
Company A,0.3952
Company A,0.3968
Company A,0.3822
Company A,0.3597
Company A,0.3972
Company A,0.3741
Company A,0.391
Company A,0.3687
Company A,0.3528
Company A,0.3513
Company A,0.3795
Company A,0.3769
Company A,0.4071
Company A,0.41
Company A,0.3615
Company A,0.4106
Company A,0.3785
Company A,0.3746
Company A,0.3854
Company A,0.3635
Company A,0.3642
Company A,0.3741
Company A,0.3748
Company A,0.3969
Company A,0.4005
Company A,0.3963
Company A,0.3992
Company A,0.3782
Company A,0.3877
Company A,0.359
Company A,0.3619
Company A,0.428
Company A,0.3959
Company A,0.4015
Company A,0.3611
Company A,0.4157
Company A,0.3746
Company A,0.3658
Company A,0.3806
Company A,0.3918
Company A,0.3533
Company A,0.3567
Company A,0.3845
Company A,0.358
Company A,0.3636
Company A,0.4043
Company A,0.3903
Company A,0.3786
Company A,0.3861
Company A,0.341
Company A,0.3856
Company A,0.4161
Company A,0.3396
Company A,0.3894
Company A,0.3666
Company A,0.3709
Company A,0.3925
Company A,0.3683
Company A,0.3588
Company A,0.42
Company A,0.3812
Company A,0.3689
Company A,0.3664
Company A,0.3849
Company A,0.3847
Company A,0.3721
Company A,0.3758
Company A,0.3842
Company A,0.4154
Company A,0.3737
Company A,0.4003
Company A,0.3846
Company A,0.4008
Company A,0.3792
Company A,0.3903
Company A,0.3915
Company A,0.3644
Company A,0.3827
Company A,0.3946
Company A,0.3957
Company A,0.3652
Company A,0.3854
Company A,0.4137
Company A,0.403
Company A,0.374
Company A,0.3633
Company A,0.3277
Company A,0.379
Company A,0.3779
Company A,0.3824
Company A,0.3464
Company A,0.3627
Company A,0.3956
Company A,0.3867
Company A,0.4008
Company A,0.3583
Company A,0.3718
Company A,0.3682
Company A,0.3733
Company A,0.3607
Company A,0.3976
Company A,0.4045
Company A,0.3593
Company A,0.3976
Company A,0.3718
Company A,0.4088
Company A,0.3636
Company A,0.3715
Company A,0.3739
Company A,0.3581
Company A,0.3651
Company A,0.3782
Company A,0.3918
Company A,0.388
Company A,0.3824
Company A,0.394
Company A,0.3643
Company A,0.3833
Company A,0.3728
